index,item_id
259,"[3223, 15947, 13865, 9728, 15521, 12452, 9062, 8636, 2816, 10881]"
655,"[3558, 4151, 734, 16434, 14167, 15297]"
753,"[12995, 11987, 3734, 2858, 884, 14998, 4475, 7019]"
835,"[8254, 11348, 3734, 9696]"
960,"[4495, 2823, 15297, 5315, 3384]"
993,"[4237, 3768, 16228, 4239, 11237]"
1785,"[13159, 1267, 4239, 13851, 1785, 9927, 16166, 9936, 6470]"
1915,"[13865, 14580, 10440, 9996, 10281, 12324]"
2099,"[2892, 5408, 8584, 13018, 10073, 10605]"
2313,"[13223, 14317, 11029, 11345, 10827, 4151, 13865, 15297]"
2609,"[12623, 8639, 7571, 11494, 1105, 14317, 1553]"
2756,"[1930, 16166, 3734, 13865, 247, 9288]"
2846,"[1106, 7626, 325, 945, 10942, 8579, 6265, 12598]"
3074,"[10777, 12659, 598, 10440, 9728, 9817]"
3138,"[15221, 3379, 1225, 14916, 1418, 9335, 6979, 10942]"
3182,"[10942, 8579, 6265, 12598]"
3415,"[8727, 11749, 13865, 3734, 12965, 16166, 12841]"
3594,"[8437, 144, 15422, 10287, 3935, 9728, 682, 10942, 1106]"
3797,"[5754, 1517, 6738, 9728, 8069, 3734, 6455, 8393]"
3836,"[147, 5543, 1731, 142, 10440, 8350, 13223, 9996, 8636]"
4027,"[10440, 7102, 3071, 6402, 11148, 13307, 13865, 923, 14361]"
4053,[2265]
4085,"[219, 15297, 391, 10440, 9817]"
4249,"[7793, 9728, 4457]"
4997,"[16086, 12995, 10440, 13865, 12324, 13744]"
5119,"[9059, 3532, 7793, 8616, 4533, 6443]"
5194,"[13318, 13713, 11654, 15404, 366, 5023, 7571, 3182, 9963]"
5318,"[13865, 931, 14196, 3734, 3784, 12259]"
5532,"[6219, 16382, 13941, 2722, 9214, 6453, 11756, 13915, 11749, 8000]"
5673,"[6660, 125, 6193, 4880, 1337, 2279, 10772, 13865]"
6061,"[6382, 13377, 10497, 16509, 10440]"
6233,"[8199, 12981, 15081, 2483, 15171, 13499, 16207, 3669, 4201, 7882]"
6249,"[13161, 10219, 1132, 3071, 5434, 2313, 2954, 1844, 7417, 8580]"
6566,[15297]
6607,"[11664, 3622, 7417, 6809, 3163, 3669, 13865]"
6833,"[734, 10214, 5693, 10119, 12173, 8639, 14151, 4417, 8694, 12702]"
6844,"[15223, 9817, 13865, 9214, 4436, 15297, 1700, 7026, 16346]"
7215,"[5012, 4130, 957, 14095, 16130, 9896, 6809, 14141, 7571, 11115]"
7660,"[10031, 12849, 10240, 9151, 758, 1819, 13598, 8036, 4689, 9817]"
7725,"[13915, 2650, 5411, 5754, 7310, 2722]"
7760,"[3130, 4448, 3940, 3550, 5411, 12908, 11985]"
7949,"[14998, 16166, 16270, 1978, 1107]"
8240,"[13583, 9103, 7448, 5434]"
8338,"[3475, 3170, 1700, 1267, 11919, 13248, 5681, 12995, 3808, 2025]"
8428,"[4495, 10440, 9728, 9817]"
8432,"[4495, 7401, 1287, 3734, 5434]"
8760,"[1653, 4457, 8254, 4774, 9728, 2954, 973, 14317, 10605, 5349]"
9190,"[16029, 3541, 8254, 7626, 13865, 923, 10323, 14361]"
9229,"[4436, 561, 13865, 10440]"
9373,"[12133, 884, 12908, 1508, 7082, 13653, 1290, 11790, 11188, 4072]"
9649,"[10440, 3734, 4151, 7102]"
9650,"[8636, 5411, 682, 366, 11057, 5693]"
9979,"[12324, 13955, 6646, 10440]"
10295,"[7417, 10440, 1700, 7026]"
10491,"[15297, 11919, 10214, 4151, 16228]"
11437,"[12118, 12463]"
11508,"[12324, 6646, 11778, 9811, 5424, 14910, 10440]"
11810,"[334, 2657, 3076, 2975, 5015, 16249]"
12123,"[9728, 5149, 10214, 3784, 8679, 12620, 970, 8337]"
12497,"[13865, 3402, 13935, 5021, 6626, 14470]"
12600,"[13915, 7582, 565, 7210, 2657]"
13426,"[125, 7582, 4942, 1844, 7014, 3784]"
13455,"[14530, 12173, 14689, 3095, 5077, 7626, 8821, 12841, 4331, 12225]"
13646,"[3622, 142, 6162, 11074, 3309]"
13859,"[8051, 6809, 5569, 2823, 5315, 3384]"
13863,"[11109, 9851, 15297, 10440, 9817]"
14070,"[10878, 3734, 12275, 14916, 10942]"
14278,"[3012, 2954, 15362, 12743, 13788, 741, 1443, 13653, 14689, 13290]"
14427,"[4487, 14662, 11756, 8447, 10440, 6443]"
14429,"[8986, 2758, 15160, 4495, 4962, 5315, 3384]"
14503,[142]
14605,"[4239, 10942, 8579, 6265, 12598]"
14829,"[10214, 682, 14689, 12841, 2722, 4331]"
14857,"[4495, 2823, 3773, 5315, 3384]"
15194,"[2558, 11756, 13223, 4754, 10440, 9728, 13475, 9817]"
15395,"[15297, 1695, 5693, 3734, 8891]"
15775,"[366, 12254, 15297, 6210, 14421]"
15850,"[6646, 6774, 5693, 15464, 15266, 7626, 12908, 12841, 8181]"
15884,"[9728, 10777, 615, 8636, 12173, 8098, 1811, 9817]"
15952,"[2360, 5424, 15297, 5681, 13865, 4151, 5847, 16249]"
16026,"[5658, 8972, 6626, 8437, 11754, 8776, 281, 9996, 4946, 16055]"
16119,"[9728, 11710, 10076, 8486, 7851, 13865, 3587, 3223, 15549]"
16360,"[1785, 3587, 13223, 14317, 14242, 13865, 11112, 10942, 7626, 734]"
16491,"[8109, 13763, 15915, 4495, 15297, 3978]"
16521,"[4565, 8386, 12421, 7582, 9169, 11749, 4457, 4151, 14422]"
16789,"[3296, 5504, 9164, 3395, 13865, 14431, 12974, 7026, 14841]"
16949,"[2823, 4495, 3773, 15297, 5315]"
17088,"[9169, 13018, 3800, 11387, 15081]"
17277,"[3734, 4151, 9617, 11790, 9996, 1287]"
17425,"[12701, 5411, 7807, 9817]"
17476,"[12965, 334, 1267, 9728, 1287, 3474, 8893]"
17491,"[12988, 8636, 13622, 5434, 5754, 3182, 16166, 11919, 2722]"
17672,"[1290, 12775, 7352, 14717, 9103, 6939, 4627, 13855, 15997, 10125]"
17858,"[3626, 5651, 423, 900, 3775, 12130, 13885, 3177, 7084, 5880]"
17950,"[7379, 10440, 1381, 4151, 12080]"
18048,"[13475, 6208, 6155, 1287, 9728, 5109, 8036, 734, 10119]"
18275,"[15266, 9336, 14272, 6646, 10876, 12974, 3734, 9108, 9138, 13243]"
18330,"[13915, 11919, 3935, 6220, 8207, 3182, 8067, 9728, 9506]"
18456,"[7626, 13865, 12770, 12701, 15404, 9381, 3936, 8357, 4696, 13713]"
18502,"[14317, 6273, 14359, 2852, 13073, 8207, 3940, 1418, 7401, 15531]"
18675,"[3940, 8636, 5754, 3095, 4457, 4549, 9391, 9808, 3587, 3404]"
18780,"[4457, 16166, 142, 10665, 2965, 3363]"
18799,"[4151, 4754, 10440, 9728, 9817]"
19291,"[2025, 6118, 2887, 10122, 13377, 11933, 8134]"
19471,[15297]
19960,"[7660, 14901, 12841, 10214, 2145, 1131, 10605]"
19998,"[2301, 3384, 14703]"
20317,"[8617, 4495, 3734, 3031]"
21129,"[4495, 4151]"
21253,"[5012, 8036, 15362, 10768, 6660, 3784]"
21397,"[12173, 10440, 1381, 4151, 12080]"
21748,"[7829, 9297, 3734, 2981, 4829, 6915, 142, 10845]"
21825,[]
21989,"[7626, 6939, 11018, 4072, 14416, 15648, 14567, 12841, 682, 10942]"
